ID1,ID2,time
100969,324773,0
100969,294392,419703
100969,369792,419703
100969,324773,455000
100969,324773,455676
100969,369792,484978
100969,247832,514978
100969,71093,515086
100969,71093,515122
100969,71093,515123
100969,324773,541133
100969,324773,576590
100969,369792,578395
100969,247832,578395
100969,324773,680289
100969,369792,692923
100969,324773,695217
100969,324773,695433
100969,247832,712624
100969,247832,740678
100969,369792,742381
100969,324773,742381
100969,247832,762432
100969,247832,779504
100969,324773,857065
100969,324773,857224
100969,324773,857449
100969,324773,858660
100969,324773,934352
100969,369792,936915
100969,324773,936915
100969,324773,941821
100969,324773,942207
100969,247832,1090992
100969,247832,1091790
100969,148767,1137062
100969,324773,1142875
100969,247832,1142875
100969,247832,1142939
100969,324773,1142939
100969,71093,1214517
100969,369792,1395632
100969,247832,1395632
100969,324773,1484905
100969,247832,1531430
100969,247832,1832561
100969,324773,1833070
100969,247832,1915475
100969,247832,1915540
100969,142764,1918441
100969,142764,1923322
100969,369792,1951432
100969,369792,1953228
100969,369792,1960447
100969,324773,2054935
100969,324773,2055214
100969,247832,2055214
100969,324773,2142405
100969,369792,2379877
100969,369792,2480219
100969,324773,2573591
100969,324773,2590555
100969,369792,2909495
100969,369792,3089032
100969,369792,3105243
100969,71093,3123540
100969,369792,3135074
100969,369792,3137541
100969,247832,3205232
100969,247832,3205404
100969,247832,3206137
100969,369792,3206137
100969,369792,3206886
100969,336603,3207770
100969,84889,3208027
100969,71093,3208027
100969,369792,3208027
100969,294392,3208178
100969,369792,3208468
100969,369792,3209113
100969,71093,3209113
100969,369792,3209518
100969,369792,3209545
100969,247832,3209663
100969,369792,3293631
100969,247832,3295693
100969,369792,3297539
100969,247832,3340409
100969,247832,3341963
100969,247832,3342113
100969,247832,3342283
100969,247832,3342715
100969,247832,3343543
100969,71093,3346406
100969,369792,3362356
100969,369792,3393241
100969,247832,3393587
100969,369792,3523948
100969,71093,3554251
100969,369792,3557428
100969,247832,3557686
100969,247832,3557813
100969,247832,3558116
100969,247832,3559448
100969,247832,3559642
100969,71093,3560703
100969,247832,3560703
100969,369792,3611090
100969,247832,3611090
100969,247832,3626172
100969,247832,3626416
100969,369792,3630162
100969,369792,3631640
100969,369792,3632092
100969,369792,3632353
100969,247832,3636204
100969,369792,3636204
100969,369792,3636435
100969,247832,3636435
100969,71093,3640287
100969,71093,3640641
100969,71093,3640852
100969,247832,3641187
100969,247832,3642027
100969,247832,3642102
100969,369792,3642102
100969,247832,3642866
100969,369792,3642866
100969,247832,3644183
100969,71093,3644183
100969,247832,3644371
100969,71093,3644371
100969,247832,3644418
100969,71093,3644418
100969,71093,3644606
100969,247832,3644606
100969,247832,3645780
100969,247832,3694724
100969,369792,3694724
100969,369792,3695067
100969,247832,3695067
100969,247832,3865074
100969,369792,3882797
100969,369792,3883026
100969,294392,3883403
100969,294392,3883605
100969,247832,3890684
100969,247832,3891990
100969,247832,3905752
100969,247832,3906080
100969,247832,3906281
100969,247832,3906534
100969,247832,3906552
100969,247832,3968590
100969,324773,4030500
100969,324773,4233630
100969,71093,4244929
100969,369792,4252130
100969,247832,4376119
100969,247832,4376346
100969,247832,4376958
100969,324773,4409549
100969,369792,4415678
100969,324773,4464254
100969,247832,4480457
100969,369792,4480519
100969,369792,4481531
100969,369792,4481688
100969,71093,4482416
100969,247832,4482416
100969,369792,4503953
100969,369792,4557049
100969,247832,4589804
100969,247832,4589903
100969,247832,4589961
100969,71093,4768066
100969,247832,4768066
100969,71093,4768544
100969,247832,4768544
100969,369792,4846783
100969,369792,4848242
100969,324773,4849540
100969,247832,4942234
100969,247832,4942780
100969,369792,5011837
100969,369792,5011936
100969,369792,5012220
100969,369792,5018106
100969,336603,5021005
100969,247832,5021851
100969,247832,5021947
100969,247832,5022016
100969,369792,5022156
100969,247832,5022750
100969,369792,5023570
100969,291237,5023673
100969,369792,5024837
100969,336603,5024837
100969,247832,5363426
100969,247832,5364237
100969,247832,5365563
100969,369792,5365563
100969,247832,5366822
100969,247832,5449603
100969,369792,5704659
100969,247832,5704988
100969,247832,5705537
100969,369792,5706090
100969,71093,5794877
100969,71093,5798432
100969,247832,5959493
100969,71093,6014366
100969,71093,6014374
100969,324773,6051149
100969,71093,6051149
100969,369792,6051418
100969,71093,6051490
100969,324773,6051490
100969,71093,6051863
100969,324773,6051863
100969,369792,6053613
100969,369792,6055568
100969,247832,6056417
100969,369792,6056417
100969,247832,6057224
100969,324773,6065712
100969,247832,6149723
100969,324773,6410917
100969,324773,6410971
100969,324773,6411136
100969,324773,6412189
100969,369792,6877466
100969,369792,6877584
100969,71093,7053913
100969,71093,7086049
100969,247832,7086049
100969,247832,7086590
100969,71093,7086590
100969,247832,7086773
100969,71093,7086773
100969,71093,7086952
100969,71093,7087534
100969,71093,7087791
100969,71093,7088053
100969,324773,7089894
100969,247832,7089986
100969,71093,7089986
100969,247832,7090566
100969,71093,7090566
100969,324773,7090966
100969,247832,7094424
100969,71093,7094424
100969,247832,7094558
100969,71093,7094558
100969,324773,7095128
100969,324773,7166203
100969,324773,7169784
100969,324773,7170943
100969,324773,7253902
100969,369792,7267183
100969,247832,7443016
100969,247832,7443343
100969,291237,7444849
100969,369792,7444849
100969,291237,7445384
100969,369792,7445384
100969,148767,7445968
100969,369792,7446944
100969,369792,7447827
100969,291237,7481999
100969,369792,7481999
100969,71093,7490495
100969,247832,7490495
100969,256429,7490495
100969,324773,7490495
100969,369792,7491693
100969,369792,7664899
100969,369792,7776023
100969,247832,7776023
100969,71093,7778943
100969,71093,7779695
100969,71093,7782820
100969,71093,7782998
100969,71093,7797929
100969,369792,7873716
100969,369792,7874114
100969,369792,8044485
100969,369792,8044710
100969,247832,8045659
100969,381414,8045814
100969,247832,8047035
100969,247832,8047893
100969,369792,8048446
100969,369792,8048548
100969,369792,8048629
100969,369792,8048975
100969,247832,8049078
100969,369792,8049078
100969,369792,8049297
100969,247832,8049450
100969,247832,8049980
100969,247832,8050275
100969,247832,8050628
100969,247832,8050660
100969,247832,8050842
100969,247832,8050996
100969,247832,8051073
100969,247832,8051195
100969,247832,8051366
100969,247832,8051564
100969,247832,8051757
100969,247832,8051831
100969,247832,8198271
100969,247832,8198550
100969,247832,8208942
100969,369792,8260481
100969,294392,8308430
100969,247832,8313200
100969,247832,8358330
100969,247832,8366292
100969,247832,8369335
100969,369792,8369400
100969,369792,8369667
100969,247832,8369667
100969,247832,8388052
100969,247832,8389112
100969,247832,8389143
100969,247832,8390577
100969,247832,8453053
100969,247832,8453479
100969,369792,8453733
100969,71093,8468272
100969,369792,8469074
100969,369792,8473470
100969,324773,8474893
100969,247832,8476682
100969,369792,8479392
100969,324773,8479392
100969,324773,8479429
100969,324773,8479457
100969,324773,8480237
100969,369792,8480237
