,ID1,ID2,start_time,end_time
0,GGW_,____almost,993,994
1,GGW_,____almost,999,1000
2,GGW_,____almost,1030,1031
3,_R__,____brood,998,999
4,_R__,____brood,1190,1191
5,_R__,____brood,1376,1377
6,WGWB,YYRG,786,787
7,WGWB,YYRG,789,790
8,WGWB,YYRG,792,793
9,GR_Y,WBGW,912,913
10,YWWW,____pale,760,761
11,YWWW,____pale,818,819
12,G___small,_R__,369,371
13,YWW_,_WWY,1084,1085
14,YWW_,_WWY,1157,1158
15,YWW_,_WWY,1173,1174
16,GR_Y2,WRRY,1207,1208
17,GR_Y2,WRRY,1254,1255
18,GG_W,RWGY,1260,1261
19,GG_W,RWGY,1280,1281
20,_WWW,____corner,821,822
21,GGW_,WBGG,927,928
22,GGW_,WBGG,1238,1240
23,GGW_,WBGG,1265,1266
24,GGW_,WBGG,1279,1280
25,YYGG,__BB,1120,1121
26,YYGG,__BB,1125,1126
27,YWW_,__W_,640,641
28,GRWG,____brood,10,11
29,GRWG,____brood,350,351
30,GRWG,____brood,375,376
31,GRWG,____brood,793,794
32,GRWG,____brood,796,797
33,GRWG,____brood,829,830
34,GRWG,____brood,974,975
35,GRWG,____brood,985,986
36,GRWG,____brood,989,990
37,WRWR,____brood,93,94
38,GGYW,WGWB,1064,1065
39,GGYW,WGWB,1067,1068
40,GGYW,WGWB,1252,1253
41,GGYW,WGWB,1262,1263
42,GGYW,WGWB,1265,1266
43,GGYW,WGWB,1290,1291
44,GGYW,WGWB,1294,1295
45,GGYW,WGWB,1415,1416
46,Y_WY,__W_,528,529
47,GGWW,Q,1027,1028
48,GGWW,Q,1062,1064
49,GGWW,Q,1071,1072
50,GGWW,Q,1321,1322
51,GGWW,Q,1334,1335
52,GGWW,Q,1345,1346
53,GGWW,Q,1403,1404
54,Q,WRRY,1075,1076
55,Q,WRRY,1077,1078
56,Q,WRRY,1159,1161
57,Q,WRRY,1256,1257
58,_W_Y,____topright,1269,1270
59,_W_Y,____topright,1280,1281
60,_W_Y,____topright,1295,1296
61,_W_Y,____topright,1324,1325
62,_W_Y,____topright,1338,1339
63,_W_Y,____topright,1345,1346
64,_W_Y,____topright,1433,1434
65,YW__,_R__,966,967
66,____corner,____topleft,934,935
67,GGRR,WRR_,1,2
68,GGRR,WRR_,4,5
69,GGRR,WRR_,15,16
70,GGRR,WRR_,47,48
71,GGRR,WRR_,74,75
72,GGRR,WRR_,80,81
73,GGRR,WRR_,97,98
74,GGRR,WRR_,265,266
75,GGRR,WRR_,267,268
76,GGRR,WRR_,270,271
77,GGRR,WRR_,378,380
78,GGRR,WRR_,572,573
79,GGRR,WRR_,580,581
80,GGRR,WRR_,587,588
81,GGRR,WRR_,595,597
82,GGRR,WRR_,607,608
83,GGRR,WRR_,619,620
84,GR_Y2,YY_R,940,941
85,GR_Y2,YY_R,951,952
86,GR_Y2,YY_R,954,955
87,GR_Y2,YY_R,956,957
88,GR_Y2,YY_R,960,961
89,GR_Y2,YY_R,1232,1233
90,GR_Y2,YY_R,1302,1303
91,GR_Y2,YY_R,1312,1313
92,G___big,G___small,80,81
93,G___big,G___small,125,126
94,G___big,G___small,140,142
95,G___big,G___small,158,159
96,G___big,G___small,398,399
97,G___big,G___small,1275,1276
98,GRWG,YGWW,897,898
99,GGRR,_WGG,437,438
100,YY_R,_WWY,841,842
101,GGGR,YYGGright,870,872
102,GGGR,YYGGright,1005,1007
103,GGGR,YYGGright,1149,1150
104,GGGR,YYGGright,1197,1198
105,GGGR,YYGGright,1240,1241
106,GWRG,YYGG,224,226
107,GWRG,YYGG,808,809
108,GWRG,YYGG,924,926
109,GWRG,YYGG,965,966
110,GGW_,YY_W,1156,1157
111,GGW_,YY_W,1222,1223
112,GGW_,YY_W,1334,1335
113,WRR_,YYGGmid,557,558
114,WRR_,YYGGmid,1340,1341
115,GBGR,YWW_,1321,1322
116,GBGR,YWW_,1424,1425
117,WBGG,WRWR,1353,1354
118,_Y__,__BB,1125,1127
119,G___,YY_R,1311,1312
120,__BB,____bm,808,809
121,RWGY,____bm,1232,1233
122,Q,WRWR,1283,1284
123,WYGG,____almost,934,935
124,WYGG,____almost,989,990
125,WYGG,____almost,1029,1030
126,WYGG,____almost,1050,1051
127,G___,Q,944,946
128,G___,Q,980,981
129,G___,Q,982,983
130,G___,Q,1000,1001
131,WBGW,____almost,1114,1115
132,WBGW,____almost,1120,1121
133,WBGW,____almost,1224,1225
134,WG_R,WRWR,1312,1313
135,GRWG,YYYY,58,59
136,WRR_,____topleft,92,93
137,WRWR,YYGGmid,737,738
138,WRWR,YYGGmid,811,812
139,WRWR,YYGGmid,818,819
140,GRGY,_WWY,763,764
141,GRGY,_WWY,813,814
142,GRGY,_WWY,833,834
143,GRGY,_WWY,835,836
144,GRGY,_WWY,870,871
145,GGRR,____bm,1288,1289
146,GGRR,____bm,1320,1321
147,RWGY,YGWW,1187,1188
148,RWGY,YGWW,1255,1256
149,GR_Y2,WRR_,570,571
150,GGYW,RWWG,1019,1020
151,GGWY,YY_W,1156,1157
152,GGWY,YY_W,1333,1334
153,GGWY,YY_W,1438,1439
154,WG_R,YWGW,3,4
155,WG_R,YWGW,19,20
156,WG_R,YWGW,45,46
157,GBG_,GGW_,1213,1214
158,GBG_,GGW_,1222,1223
159,GBG_,GGW_,1342,1343
160,GG_W,WRWR,1415,1416
161,G_R_,____pale,1156,1157
162,RWWG,YYGG,1256,1257
163,WRWR,YYGG,75,76
164,WRWR,YYGG,77,78
165,WRWR,YYGG,188,189
166,WRWR,YYGG,207,208
167,WRWR,YYGG,267,268
168,WRWR,YYGG,744,745
169,WG_R,WRBB,868,869
170,WG_R,WRBB,870,871
171,WG_R,____topleft,12,13
172,WG_R,____topleft,15,16
173,WG_R,____topleft,140,141
174,WG_R,____topleft,261,262
175,WG_R,____topleft,1034,1035
176,WG_R,____topleft,1163,1164
177,WG_R,____topleft,1211,1212
178,WG_R,____topleft,1281,1282
179,WG_R,____topleft,1290,1291
180,WG_R,____topleft,1300,1301
181,WG_R,____topleft,1317,1318
182,WG_R,____topleft,1355,1356
183,WG_R,____topleft,1375,1376
184,WG_R,____topleft,1378,1379
185,WGWB,YYGGmid,863,864
186,WGWB,YYGGmid,869,870
187,____corner,____pale,910,911
188,____corner,____pale,912,913
189,GGYW,_WYW,1085,1086
190,GGWW,____pale,1122,1124
191,GYGG,Y___,1173,1174
192,GYGG,Y___,1207,1208
193,GG_W,_W_Y,1205,1206
194,GGGR,YYRG,1335,1336
195,GGGR,YYRG,1414,1415
196,GGGR,YYRG,1425,1427
197,GBGR,YYGG,5,6
198,GGRR,____topleft,41,42
199,GGRR,____topleft,390,391
200,GGRR,____topleft,1233,1234
201,GGRR,____topleft,1290,1291
