,ID1,ID2,start_time,end_time
0,Q,W_W_1,489,490
1,WPYY,WWY_,89,90
2,WPYY,WWY_,1197,1198
3,Q,WBWY,319,321
4,WGWY,WRWP,1110,1111
5,WGWY,WRWP,1164,1165
6,WWWY,WY_G1,245,246
7,WW__1,WYYB,422,423
8,WPGR,WW__2,1197,1198
9,WGGY,WW__(Z),1352,1353
10,Q,WGG_,268,269
11,Q,WGG_,568,569
12,WRGG,W_W_1,978,979
13,WGWW,WR__,1274,1275
14,WGWW,WR__,1381,1382
15,WY_R,_YYY,1392,1393
16,W_YR,____1,957,958
17,W_YR,____1,1056,1057
18,WGRP,WGWW,1091,1092
19,Q,WYG_,397,398
20,Q,WYG_,408,409
21,WPGG,WRYY,431,432
22,WPGG,WRYY,758,759
23,WPGG,WRYY,1206,1207
24,WGGW,____3,1088,1089
25,WGGW,____3,1121,1122
26,WGGW,____3,1147,1148
27,WW__(Z),WW__1,1194,1195
28,WGG_,WYWW,0,1
29,WYY_,_YGW,1170,1171
30,WGG_,_GGR,658,659
31,WGG_,_GGR,1263,1264
32,WGWY,WPGR,498,499
33,WGWY,WPGR,502,503
34,WGWY,WPGR,529,530
35,WGWY,WPGR,532,533
36,WGWY,WPGR,551,552
37,WGWY,WPGR,1183,1184
38,WGWY,WPGR,1188,1189
39,WR__,_GGR,144,145
40,WGG_,WRYR,14,15
41,WGG_,WRYR,16,17
42,WGG_,WRYR,18,19
43,WRGW,WWGG,332,333
44,WRGW,WWGG,347,348
45,WRGW,WWGG,354,355
46,WGWW,WW__,825,826
47,WGWW,WW__,927,928
48,WGWY,WWGG,36,37
49,WBGW,W_BG,414,415
50,WBGW,W_BG,1348,1349
51,WW__2,WYYG,862,863
52,PYPG,W___1,964,965
53,PYPG,W___1,1037,1038
54,PYPG,W___1,1044,1045
55,PYPG,W___1,1062,1063
56,PYPG,W___1,1309,1310
57,WG__2,WY_G1,20,21
58,WG__2,WY_G1,933,934
59,WGWW,WYY_,205,206
60,WGWW,WYY_,1254,1255
61,WW__(H),_YGB,895,896
62,WW__(H),_YGB,1316,1317
63,WYYG,____2,393,394
64,WYYG,____2,395,396
65,WYYG,____2,985,986
66,WRYR,WW__2,1066,1067
67,WGGG,WG__1,1356,1357
68,WGWW,WGWY,283,284
69,WGWW,WGWY,496,497
70,WRGG,WWY_,343,344
71,WRGG,WWY_,648,649
72,WRGG,WWY_,652,653
73,WRGG,WWY_,730,731
74,WRGG,WWY_,782,783
75,WY_G2,____2,1124,1125
76,WY_G2,____2,1126,1127
77,WPYY,WYWW,342,343
78,WPYY,WW__1,19,20
79,WPYY,WW__1,931,932
80,WPYY,WW__1,937,938
81,WPYY,WW__1,1053,1054
82,WRGW,WY_G1,455,456
83,WGRP,WWY_,214,215
84,WG__1,WWR_,56,57
85,WG__1,WWR_,924,925
86,WG__1,WWR_,973,974
87,WG__1,WWR_,1120,1121
88,WG__1,WWR_,1123,1124
89,WG__1,WWR_,1269,1270
90,WG__1,WWR_,1401,1402
91,WYYG,WY_G2,400,401
92,WYYG,WY_G2,506,507
93,WRWP,WYY_,167,168
94,WRWP,WYY_,246,247
95,WRWP,WYY_,289,291
96,WY_R,W_YY,335,336
97,WBWY,WW__2,1216,1217
98,WBWY,WW__2,1347,1348
99,WGYY,WG__1,378,379
100,WGYY,WG__1,464,465
101,WGYY,WG__1,855,856
102,WGYY,WG__1,1407,1408
103,WGWY,_YGW,66,67
104,WGRP,WRYR,68,69
105,WYRR(DIE),WYY_,1423,1424
106,WW__2,WY_G1,1033,1034
107,WW__2,WY_G1,1145,1146
108,WPGG,W_W_2,814,815
109,WWR_,WY__,996,997
110,WBWY,WGWW,1027,1028
111,WGWY,WG__2,620,621
112,WY__,_GGR,43,44
113,WY__,_GGR,80,81
114,WY__,_GGR,83,84
115,WY__,_GGR,85,86
116,WY__,_GGR,408,409
117,WY__,_GGR,1067,1068
118,WRYR,WW__(H),707,708
119,WRYR,WW__(H),709,710
120,WW__(H),_YGW,387,388
121,WRYY,_GGR,1348,1349
122,Q,WR__,42,43
123,Q,WR__,67,68
124,Q,WR__,78,79
125,PYPG,WGWW,1132,1133
126,WGGY,____2,557,558
127,WGWY,____1,144,146
128,WGWY,____1,381,382
129,WBWY,WPGR,965,966
130,W_W_2,_GGR,0,1
131,W_W_2,_GGR,1323,1324
132,WGG_,WY_G2,6,7
133,WGG_,WY_G2,149,150
134,WGG_,WY_G2,948,949
135,WGWW,W_YR,1008,1009
136,WWRY,W_W_2,1105,1106
137,WWRY,W_W_2,1128,1129
138,WGGG,W_RG,425,426
139,WGGG,W_RG,430,431
140,WWY_,WYY_,1270,1271
141,WYGR,WYRW,66,67
142,WYGR,WYRW,101,102
143,WRGG,WRYY,1437,1438
144,PYPG,WGWY,1143,1144
145,WGRP,WG__2,0,1
146,WGRP,WG__2,772,773
147,WW__2,WYRW,875,876
148,WW__,_YGW,828,829
149,WW__,_YGW,834,835
150,WW__,_YGW,864,865
151,WWY_,WYRW,187,188
152,WRGG,WRWP,158,159
153,WRGG,WRWP,949,950
154,WRGG,WRWP,976,977
155,WW__2,____3,750,751
156,WRYY,WYGR,774,775
157,PYPG,WY_G2,957,958
158,WGWW,WWR_,5,7
159,WPGY,_YYY,250,251
160,WPGY,_YYY,996,997
161,WPGY,_YYY,1010,1011
162,WY_G2,W_W_1,971,972
163,WGGY,WGG_,424,425
164,WGGY,WGG_,443,444
165,WGGY,WGG_,462,463
166,WGGY,WGG_,507,508
167,WGGY,WGG_,540,541
168,WGGY,WGG_,565,566
169,WGGY,WGG_,989,990
170,Q,WG__1,93,94
171,Q,WWRY,361,362
172,Q,WWRY,469,470
173,Q,WWRY,1141,1142
174,WWWY,WY_G2,207,208
175,WWWY,WY_G2,229,230
176,WWWY,WY_G2,243,244
177,WWWY,WY_G2,905,906
178,WWWY,WY_G2,1116,1117
179,W_YY,____2,557,558
180,W_YY,____2,790,791
181,WWGY,WWWY,602,603
182,WRWP,_YYY,132,133
183,WGGY,WY_G2,957,958
184,WW__(Z),W_W_1,1012,1013
185,WWWY,____1,421,422
186,WG__2,WYRW,75,76
187,WG__2,WYRW,663,664
188,WG__2,WYRW,985,986
189,WGG_,____1,1104,1105
190,WGG_,____1,1146,1147
191,PYPG,WYG_,1194,1195
192,PYPG,WYG_,1204,1205
193,WR__,WYWW,1325,1326
194,WGRP,WYWW,230,231
195,WGRP,WYWW,305,306
196,WGRP,WYWW,357,358
197,WGRP,WYWW,359,360
198,WGRP,WYWW,1091,1092
199,WGRP,WYWW,1301,1302
200,WGRP,WYWW,1344,1345
201,WGRP,WYWW,1346,1347
202,WGRP,WYWW,1358,1359
203,WGRP,WYWW,1362,1363
204,WYG_,WYYB,457,458
205,WYG_,WYYB,1011,1012
206,WYG_,WYYB,1019,1020
207,WRGW,WYYB,383,384
208,PYPG,WG__1,818,819
209,PYPG,WG__1,986,987
210,PYPG,WG__1,1153,1154
211,PYPG,WG__1,1235,1236
212,WWR_,WYY_,1243,1244
213,WGRP,W_YR,1218,1219
214,Q,WW__(H),281,282
215,Q,WW__(H),435,436
216,WY__,__W_,1289,1290
217,WY_G1,W_W_1,371,372
218,WY_G1,W_W_1,970,971
219,WY_G1,W_W_1,984,985
220,WPGY,WRWP,0,1
221,WPGY,WRWP,886,887
222,Q,WPGR,168,169
223,Q,WPGR,1365,1366
224,WRYR,WWGY,390,391
225,PYPG,WWWY,863,864
226,WYRW,W_YY,962,964
227,Q,WGGW,972,973
228,Q,WGGW,992,993
229,Q,WGGW,1016,1017
230,WGYY,WRYR,385,386
231,WGYY,WRYR,903,904
232,WGYY,WRYR,1293,1294
233,W_BG,W_RG,561,562
234,W_BG,W_RG,567,568
235,W_BG,W_RG,778,779
236,WRYY,WWR_,1212,1213
237,WRYY,WWR_,1438,1439
238,Q,WYYG,1393,1394
239,Q,WYYG,1395,1396
