date (year-month-day),species,trial start hour,trial start min,subject,donor,mouthlickinng start (hours),mouthlicking start (minutes),mouthlicking start (seconds),duration(s)
12/12/10,Desmodus rotundus,7,2,streblick,mya,8,11,23,58
12/12/10,Desmodus rotundus,7,2,streblick,mya,8,12,33,125
12/12/10,Desmodus rotundus,7,2,streblick,mya,8,14,47,27
12/12/10,Desmodus rotundus,7,2,streblick,mya,8,25,39,38
12/12/10,Desmodus rotundus,7,2,streblick,mya,8,26,37,6
12/12/10,Desmodus rotundus,7,2,streblick,mya,8,30,31,78
12/12/10,Desmodus rotundus,7,2,streblick,mya,7,46,13,67
12/12/10,Desmodus rotundus,7,2,streblick,mya,7,38,57,234
12/12/10,Desmodus rotundus,7,2,streblick,mya,7,6,55,1782
12/12/10,Desmodus rotundus,7,2,streblick,mya,7,48,27,232
12/13/10,Desmodus rotundus,7,6,helsing,countess,7,30,1,43
12/13/10,Desmodus rotundus,7,6,helsing,lucy,8,1,6,5
12/13/10,Desmodus rotundus,7,6,helsing,mya,7,15,40,253
12/13/10,Desmodus rotundus,7,6,helsing,mya,7,14,14,78
12/13/10,Desmodus rotundus,7,6,helsing,mya,7,9,31,88
12/13/10,Desmodus rotundus,7,6,helsing,mya,7,20,0,143
12/14/10,Desmodus rotundus,6,49,fuschia,veronica,8,12,42,143
12/14/10,Desmodus rotundus,6,49,fuschia,veronica,8,15,25,44
12/14/10,Desmodus rotundus,6,49,fuschia,veronica,8,17,11,44
12/14/10,Desmodus rotundus,6,49,fuschia,veronica,8,18,44,120
12/14/10,Desmodus rotundus,6,49,fuschia,veronica,8,22,7,23
12/14/10,Desmodus rotundus,6,49,fuschia,veronica,7,17,5,5
12/14/10,Desmodus rotundus,6,49,fuschia,bella,6,57,22,7
12/14/10,Desmodus rotundus,6,49,fuschia,bella,6,55,11,64
12/14/10,Desmodus rotundus,6,49,fuschia,countess,8,9,1,5
12/15/10,Desmodus rotundus,6,54,parmalee,,,,,0
12/17/10,Desmodus rotundus,7,4,vampirella,gelfing,7,26,44,37
12/17/10,Desmodus rotundus,7,4,vampirella,gelfing,7,27,42,13
12/17/10,Desmodus rotundus,7,4,vampirella,mya,8,11,43,440
12/17/10,Desmodus rotundus,7,4,vampirella,mya,8,19,10,525
12/17/10,Desmodus rotundus,7,4,vampirella,mya,8,32,33,246
12/17/10,Desmodus rotundus,7,4,vampirella,mya,8,54,32,122
12/17/10,Desmodus rotundus,7,4,vampirella,gelfing,7,25,9,5
12/17/10,Desmodus rotundus,7,4,vampirella,gelfing,7,20,10,285
12/17/10,Desmodus rotundus,7,4,vampirella,gelfing,7,15,3,281
12/17/10,Desmodus rotundus,7,4,vampirella,gelfing,7,26,12,11
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,8,22,21
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,9,2,29
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,10,15,98
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,12,43,42
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,13,37,70
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,14,54,42
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,15,43,96
12/18/10,Desmodus rotundus,6,57,veronica,countess,8,22,32,232
12/18/10,Desmodus rotundus,6,57,veronica,thecount,8,30,4,239
12/18/10,Desmodus rotundus,6,57,veronica,mya,7,27,53,675
12/18/10,Desmodus rotundus,6,57,veronica,mya,7,27,35,10
12/18/10,Desmodus rotundus,6,57,veronica,mya,7,26,49,28
12/18/10,Desmodus rotundus,6,57,veronica,mya,7,38,55,643
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,4,41,18
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,5,7,8
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,6,1,143
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,8,43,75
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,10,11,33
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,11,1,309
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,16,34,55
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,18,15,23
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,18,54,77
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,20,17,34
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,21,30,344
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,27,45,8
12/19/10,Desmodus rotundus,6,48,maribelo,bella,7,38,4,14
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,8,30,10,15
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,8,30,37,25
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,8,35,9,133
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,6,59,34,6
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,6,51,48,17
12/19/10,Desmodus rotundus,6,48,maribelo,bella,6,50,33,23
12/19/10,Desmodus rotundus,6,48,maribelo,lucy,7,0,2,254
12/21/10,Desmodus rotundus,6,35,lucy,maribelo,7,1,36,8
12/21/10,Desmodus rotundus,6,35,lucy,maribelo,7,0,31,46
12/21/10,Desmodus rotundus,6,35,lucy,countess,8,32,24,52
12/27/10,Desmodus rotundus,6,47,veronica,thecount,7,1,44,143
12/27/10,Desmodus rotundus,6,47,veronica,thecount,7,5,35,26
12/27/10,Desmodus rotundus,6,47,veronica,thecount,7,8,34,94
12/27/10,Desmodus rotundus,6,47,veronica,bella,7,16,31,77
12/27/10,Desmodus rotundus,6,47,veronica,mya,7,29,29,221
12/27/10,Desmodus rotundus,6,47,veronica,mya,7,36,29,383
12/27/10,Desmodus rotundus,6,47,veronica,mya,7,44,16,242
12/27/10,Desmodus rotundus,6,47,veronica,mya,7,48,29,7
12/27/10,Desmodus rotundus,6,47,veronica,countess,8,23,51,25
12/27/10,Desmodus rotundus,6,47,veronica,countess,6,57,56,60
12/27/10,Desmodus rotundus,6,47,veronica,mya,6,52,22,168
12/27/10,Desmodus rotundus,6,47,veronica,mya,6,51,19,47
12/27/10,Desmodus rotundus,6,47,veronica,thecount,7,1,11,26
12/28/10,Desmodus rotundus,6,49,cerce,countess,7,15,0,104
12/28/10,Desmodus rotundus,6,49,cerce,bella,7,20,59,167
12/28/10,Desmodus rotundus,6,49,cerce,bella,8,11,45,111
12/28/10,Desmodus rotundus,6,49,cerce,bella,8,14,41,85
12/28/10,Desmodus rotundus,6,49,cerce,bella,8,16,18,21
12/28/10,Desmodus rotundus,6,49,cerce,countess,8,36,14,60
12/28/10,Desmodus rotundus,6,49,cerce,countess,8,38,32,7
12/28/10,Desmodus rotundus,6,49,cerce,countess,8,38,49,261
12/28/10,Desmodus rotundus,6,49,cerce,countess,8,43,18,11
12/28/10,Desmodus rotundus,6,49,cerce,countess,8,43,41,187
12/28/10,Desmodus rotundus,6,49,cerce,mya,7,3,57,135
12/28/10,Desmodus rotundus,6,49,cerce,bella,7,0,9,21
12/28/10,Desmodus rotundus,6,49,cerce,bella,7,7,42,130
12/29/10,Desmodus rotundus,6,37,mya,bella,6,44,9,56
12/29/10,Desmodus rotundus,6,37,mya,bella,6,45,30,30
12/29/10,Desmodus rotundus,6,37,mya,bella,6,46,37,8
12/29/10,Desmodus rotundus,6,37,mya,bella,6,46,56,6
12/29/10,Desmodus rotundus,6,37,mya,bella,6,47,39,7
12/29/10,Desmodus rotundus,6,37,mya,bella,6,47,57,72
12/29/10,Desmodus rotundus,6,37,mya,bella,6,49,15,7
