	Location	Ant_ID	Ant_ID_(partner)	start_time	end_time	duration
0	4	671	66	0	217	217
1	4	796	109	1	97	96
2	4	495	199	26	71	45
3	4	671	796	271	319	48
4	4	671	495	336	344	8
5	4	671	42	380	540	160
6	1	269	699	462	810	348
7	4	671	397	550	584	34
8	4	671	397	592	597	5
9	4	671	758	621	772	151
10	4	397	565	693	862	169
11	4	758	671	823	906	83
12	4	570	161	928	933	5
13	4	495	671	975	1011	36
14	1	797	46	1011	1023	12
15	4	495	671	1021	1074	53
16	1	269	646	1032	1308	276
17	4	109	671	1131	1160	29
18	4	565	671	1238	1246	8
19	4	565	424	1281	1284	3
20	1	267	657	1367	1598	231
21	4	796	108	1376	1421	45
22	4	565	424	1426	1441	15
23	4	671	108	1450	1570	120
24	4	429	698	1454	1457	3
25	1	646	699	1457	1586	129
26	4	796	428	1493	1495	2
27	4	495	698	1515	1528	13
28	4	495	428	1557	1609	52
29	4	495	796	1668	1670	2
30	4	495	796	1679	1931	252
31	1	657	600	1747	1765	18
32	4	790	199	1750	1794	44
33	4	671	565	1752	1773	21
34	4	790	199	1805	1810	5
35	4	671	424	1824	1829	5
36	4	790	594	1825	2362	537
37	4	108	109	1833	1857	24
38	4	109	108	1863	2020	157
39	4	397	758	1873	1885	12
40	1	600	646	1884	2174	290
41	4	758	397	1892	1924	32
42	4	758	397	1940	2061	121
43	4	796	495	1942	2004	62
44	4	565	424	1967	1984	17
45	4	702	66	1976	1986	10
46	4	796	495	2030	2125	95
47	4	108	106	2047	2476	429
48	1	76	699	2144	2205	61
49	1	819	262	2225	2240	15
50	1	46	797	2227	2243	16
51	4	758	397	2249	2544	295
52	4	495	424	2258	2285	27
53	1	353	18	2286	2322	36
54	1	46	600	2307	2339	32
55	1	657	77	2311	2343	32
56	1	128	43	2357	2387	30
57	1	262	18	2373	2379	6
58	1	727	295	2387	2419	32
59	1	334	353	2389	2402	13
60	4	594	790	2398	2400	2
61	1	353	133	2405	2866	461
62	1	128	448	2425	3022	597
63	1	18	1	2430	2458	28
64	1	133	194	2439	2444	5
65	1	353	194	2439	2444	5
66	1	195	818	2447	2451	4
67	1	133	265	2470	2493	23
68	1	265	353	2470	2493	23
69	4	199	790	2471	2525	54
70	1	1	18	2471	2477	6
71	1	133	265	2498	2507	9
72	1	265	353	2498	2507	9
73	1	67	267	2501	2627	126
74	1	818	571	2513	2520	7
75	1	334	298	2516	2524	8
76	1	571	18	2538	2541	3
77	1	763	265	2540	2576	36
78	1	18	571	2548	2554	6
79	4	594	570	2548	2811	263
80	4	106	428	2606	2621	15
81	4	758	161	2622	2624	2
82	4	428	698	2645	2848	203
83	4	397	657	2646	2792	146
84	4	161	758	2647	2659	12
85	4	424	76	2671	2896	225
86	4	109	108	2768	3116	348
87	4	428	657	2902	2908	6
88	4	758	594	2949	3127	178
89	1	353	819	2963	3075	112
90	1	67	133	2976	3100	124
91	1	763	699	3073	3085	12
92	1	600	298	3123	3388	265
93	1	77	819	3129	3232	103
94	1	133	265	3132	3343	211
95	4	758	594	3134	3157	23
96	4	106	108	3144	3200	56
97	4	758	594	3166	3170	4
98	4	594	758	3176	3253	77
99	4	702	42	3222	3237	15
100	4	108	119	3227	3236	9
101	4	630	76	3234	3398	164
102	4	702	698	3262	3330	68
103	4	108	199	3269	3274	5
104	4	101	758	3281	3284	3
105	4	758	594	3332	3341	9
106	4	166	108	3337	3734	397
107	4	698	702	3357	3362	5
108	1	298	600	3404	3612	208
109	4	758	790	3411	3424	13
110	1	77	133	3443	3479	36
111	4	790	758	3444	3870	426
112	4	495	42	3475	3772	297
113	4	397	657	3493	3736	243
114	1	77	133	3498	3691	193
115	4	424	495	3814	3824	10
116	4	594	108	3817	3929	112
117	4	128	756	3872	4228	356
118	4	758	790	3879	3902	23
119	4	765	594	3958	4393	435
120	4	790	758	3975	3977	2
121	4	397	657	3975	4204	229
122	4	790	758	3979	4156	177
123	1	265	133	3992	4282	290
124	1	133	265	4320	4356	36
125	4	161	790	4355	4682	327
126	4	756	106	4487	4836	349
127	4	424	698	4803	4848	45
128	4	424	698	4852	4870	18
129	4	424	106	4970	4974	4
130	4	106	109	5029	5418	389
131	4	42	796	5040	5047	7
132	1	Queen	143	5060	5086	26
133	4	790	108	5146	5318	172
134	1	262	1	5281	5299	18
135	1	532	262	5343	5349	6
136	1	143	72	5364	5379	15
137	1	334	448	5365	5923	558
138	1	539	1	5365	5447	82
139	1	291	539	5374	5379	5
140	1	1	291	5374	5379	5
141	1	195	72	5431	5515	84
142	1	174	262	5464	5476	12
143	1	33	262	5500	5509	9
144	1	33	262	5519	5604	85
145	1	18	174	5527	5577	50
146	4	119	698	5622	5624	2
147	1	262	539	5623	5626	3
148	4	76	702	5638	5790	152
149	4	698	119	5642	5783	141
150	1	571	539	5683	5685	2
151	1	77	265	5696	5698	2
152	1	262	819	5712	5734	22
153	4	565	42	5741	5888	147
154	1	269	46	5746	5754	8
155	1	598	532	5786	5794	8
156	4	128	76	5805	5874	69
157	4	397	702	5851	5875	24
158	1	539	265	5865	5883	18
159	1	819	598	5878	5897	19
160	1	539	265	5888	5929	41
161	1	532	819	5902	5910	8
162	4	702	657	5903	5958	55
163	1	265	539	5930	5955	25
164	1	46	448	5961	5976	15
165	1	334	67	5988	6178	190
166	1	174	448	5999	6067	68
167	1	265	267	6036	6039	3
168	4	397	428	6042	6094	52
169	1	18	267	6046	6053	7
170	4	702	790	6047	6067	20
171	1	77	819	6059	6071	12
172	4	790	702	6078	6103	25
173	1	174	448	6081	6116	35
174	4	108	671	6109	6162	53
175	4	702	790	6111	6145	34
176	1	448	174	6119	6152	33
177	4	428	796	6122	6126	4
178	1	539	353	6137	6270	133
179	4	702	790	6162	6346	184
180	4	758	671	6172	6494	322
181	1	46	600	6184	6257	73
182	1	331	448	6201	6439	238
183	1	334	67	6228	6248	20
184	4	428	698	6266	6295	29
185	1	353	763	6296	6401	105
186	1	699	334	6335	6342	7
187	1	43	600	6359	6478	119
188	4	790	702	6365	6374	9
189	4	702	790	6421	6476	55
190	1	174	539	6428	6508	80
191	1	46	334	6433	6510	77
192	4	702	790	6481	6764	283
193	1	43	331	6487	6489	2
194	1	699	763	6500	6578	78
195	1	46	334	6513	6520	7
196	1	174	539	6532	6549	17
197	1	448	797	6534	6691	157
198	4	758	565	6556	6873	317
199	1	43	331	6565	6567	2
200	1	43	331	6577	6584	7
201	1	699	539	6587	6600	13
202	1	763	353	6588	6613	25
203	4	671	594	6622	6689	67
204	1	331	532	6690	6698	8
205	1	43	298	6702	6748	46
