	Location	Ant_ID	Ant_ID_(partner)	start_time	end_time	duration
0	1	564	722	29	40	11
1	1	723	822	30	47	17
2	1	418	755	78	146	68
3	1	418	480	163	489	326
4	1	419	822	217	224	7
5	1	419	822	244	263	19
6	1	723	822	277	340	63
7	1	754	726	297	498	201
8	1	539	693	303	315	12
9	1	539	755	329	385	56
10	1	723	822	342	395	53
11	1	539	693	389	591	202
12	1	419	723	432	515	83
13	1	726	754	504	594	90
14	1	480	418	542	744	202
15	1	754	726	604	647	43
16	1	693	726	668	694	26
17	1	754	787	688	732	44
18	1	693	726	719	731	12
19	1	732	823	725	1026	301
20	1	787	754	740	748	8
21	1	693	726	743	747	4
22	1	494	693	756	806	50
23	1	Queen	661	767	826	59
24	1	703	458	795	880	85
25	1	693	726	822	967	145
26	1	564	529	836	1159	323
27	1	491	666	869	882	13
28	1	533	666	905	990	85
29	1	494	Queen	938	948	10
30	1	Queen	664	962	974	12
31	1	693	726	977	1126	149
32	1	494	Queen	1007	1036	29
33	1	755	818	1017	1019	2
34	1	755	818	1020	1048	28
35	1	761	564	1029	1037	8
36	1	761	529	1029	1037	8
37	1	529	761	1044	1049	5
38	1	564	761	1044	1049	5
39	1	480	755	1068	1100	32
40	1	795	722	1072	1087	15
41	1	795	729	1099	1114	15
42	1	491	666	1181	1222	41
43	1	693	418	1192	1287	95
44	1	722	666	1234	1280	46
45	1	666	722	1288	1296	8
46	1	564	666	1302	1311	9
47	1	491	594	1328	1333	5
48	1	481	564	1405	1450	45
49	1	795	481	1493	1498	5
50	1	723	693	1498	1608	110
51	1	491	594	1509	1674	165
52	1	564	481	1512	1561	49
53	1	822	818	1537	1640	103
54	1	528	631	1605	1611	6
55	1	787	418	1621	1731	110
56	1	723	693	1630	1636	6
57	1	491	481	1734	1851	117
58	1	787	418	1740	1801	61
59	1	564	664	1757	1762	5
60	1	754	424	1769	1772	3
61	1	424	754	1773	2093	320
62	1	533	539	1787	1904	117
63	1	723	787	1830	1996	166
64	1	491	481	1859	1874	15
65	1	481	564	1957	1960	3
66	1	481	539	1964	1976	12
67	1	732	823	1967	2009	42
