,ID1,ID2,Weight
216,She1,She8,15.0
217,Op5,P1,10.0
218,M6F,Mot3,1.0
219,M12M,Mot16,7.0
220,Tao10,Tao25,19.0
221,Op21,Op5,2.0
222,T18M,Tao13,2.0
223,Op23,PT1,6.0
224,Op8,V22M,3.0
225,Mot19,Mot3,1.0
226,Op20,V12M,7.0
227,P1,V19M,7.0
228,Op10,Op36,1.0
229,T6M,Tao7,5.0
230,T18M,Tao15,9.0
231,Op23,Op33,9.0
232,T20M,T6F,5.0
233,T20M,Tao4,1.0
234,T18M,Tao12,12.0
235,Mot4,Mot5,3.0
236,Tet2,Tet4,3.0
237,P1,She8,3.0
238,R6F,RF3,3.0
239,Op20,She1,11.0
240,Mot22,RF2,2.0
241,Op8,T18M,9.0
242,Tet4,Tet6,1.0
243,Op22,V21M,2.0
244,T18M,T20M,8.0
245,T18M,Tao8,2.0
246,T18M,Tao4,3.0
247,Op21,Op7,1.0
248,Op20,Op36,1.0
249,RF3,RF7,7.0
250,Op24,V22M,3.0
251,Op6,She8,8.0
252,Op36,V22M,1.0
253,T6F,Tao12,2.0
254,Mot15,Mot2,3.0
255,Op10,Op23,7.0
256,T6F,Tao15,7.0
257,RF2,RF7,5.0
258,Mot1,Mot12,8.0
259,Op22,Op24,1.0
260,Op5,She8,5.0
261,Mot15,Mot4,3.0
262,Op24,Op36,1.0
263,T6M,Tao15,11.0
264,Op23,She8,8.0
265,Mot21,Mot4,3.0
266,T6M,Tao12,11.0
267,T20M,Tao6,7.0
268,Tao15,Tao6,7.0
269,Mot12,Mot4,3.0
270,Op21,Op24,1.0
271,Op31,Op5,9.0
272,Tao11,Tao15,3.0
273,Mot19,Mot5,7.0
274,Op19,She8,1.0
275,M6F,Mot15,3.0
276,Mot5,Tao11,2.0
277,M6F,Mot12,3.0
278,T6M,Tao10,11.0
279,Op21,Op6,1.0
280,Op6,P1,2.0
281,Tao10,Tao8,2.0
282,Op21,V11M,1.0
283,PT7,Tao17,2.0
284,Op10,Op7,5.0
285,Tet1,Tet2,5.0
286,Mot15,Mot18,6.0
287,Mot17,Mot21,11.0
288,T6F,Tao10,7.0
289,She8,V21M,4.0
290,Op6,PT1,2.0
291,Mot1,Mot4,3.0
292,Tao10,Tao12,23.0
293,Op19,Op6,4.0
294,Op31,P1,7.0
295,Op41,V21M,11.0
296,Tao11,Tao12,3.0
297,Op5,PT1,5.0
298,Mot12,Mot21,5.0
299,Mot17,Mot4,3.0
300,Mot14,Mot16,20.0
301,Op19,Op21,2.0
302,Op31,Tao8,6.0
303,Op5,V21M,7.0
304,Op5,Tao8,6.0
305,PT1,Tao15,3.0
306,Op24,Op8,3.0
307,Op19,Op33,3.0
308,Op10,She8,16.0
309,T18M,Tao10,12.0
310,R21F,RF3,2.0
311,Tao8,V21M,3.0
312,Mot1,Tao11,2.0
313,Op24,She8,3.0
314,Op24,Op9,1.0
315,T6F,Tao6,3.0
316,Op20,Op33,11.0
317,Op10,V12M,7.0
318,M6F,Mot16,3.0
319,M12M,Mot3,1.0
320,T12F,Tao19,1.0
321,T20M,Tao15,12.0
322,Tet1,Tet4,3.0
323,M12M,Mot21,7.0
324,Op10,Op24,6.0
325,Op31,V19M,11.0
326,Op33,Op9,10.0
327,Mot15,Mot8,12.0
328,Mot12,Mot14,9.0
329,Op5,She1,6.0
330,Op9,Tao8,6.0
331,Mot16,Mot8,21.0
332,Mot14,Tao11,2.0
333,Op19,Op36,1.0
334,Op8,She8,12.0
335,Mot12,Tao11,2.0
336,Op33,Op5,14.0
337,Tao13,Tao7,1.0
338,R6F,RF4,4.0
339,Op8,Tao8,6.0
340,Op31,Op8,8.0
341,PT1,Tao10,4.0
342,Op10,Op6,16.0
343,Mot20,Mot3,1.0
344,Op8,T20M,7.0
345,Mot15,Tao11,2.0
346,M12M,Mot8,7.0
347,T6F,Tao7,2.0
348,Op41,Op5,15.0
349,Op10,PT1,6.0
350,Tao12,Tao13,2.0
351,Op8,Tao6,4.0
352,Op8,PT1,4.0
353,She1,V22M,5.0
354,Op19,Op31,2.0
355,M12M,Mot24,2.0
356,Mot14,Mot24,2.0
357,Op19,Op9,2.0
358,Op10,P1,3.0
359,Mot24,Mot5,2.0
360,Tao12,Tao15,16.0
361,Mot1,Mot8,5.0
362,R21F,RF4,1.0
363,T20M,Tao11,3.0
364,Op19,PT1,1.0
365,V12M,V22M,3.0
366,Mot1,Mot14,10.0
367,Op24,She1,5.0
368,M12M,Mot5,7.0
369,Mot4,Mot8,3.0
370,Tao12,Tao7,13.0
371,Op36,Op6,1.0
372,Op33,She1,18.0
373,M12M,Mot4,3.0
374,Op19,P1,3.0
375,Op41,Op7,9.0
376,Mot14,Mot20,7.0
377,Op36,She8,1.0
378,Op8,Tao15,13.0
379,Tao25,Tao7,8.0
380,Op33,PT1,6.0
381,Op8,V12M,7.0
382,Op19,V19M,2.0
383,R6F,RF7,6.0
384,Mot3,Mot5,3.0
385,Op41,V22M,3.0
386,Mot16,Mot4,3.0
387,R11F,RF3,7.0
388,Tao11,Tao25,3.0
389,Mot2,Mot8,3.0
390,Mot18,Mot20,9.0
391,Mot14,Mot3,2.0
392,Mot3,Mot4,1.0
393,Op33,V19M,12.0
394,Mot22,RF3,3.0
395,Mot18,Tao11,2.0
396,Mot16,Mot2,3.0
397,Mot1,Mot3,2.0
398,Op24,Op7,2.0
399,Op41,V12M,5.0
400,Tet1,Tet6,1.0
401,Mot24,Mot4,2.0
402,Op33,V12M,7.0
403,PT7,R11F,5.0
404,Op31,V21M,3.0
405,Op23,Op6,2.0
406,R21F,R6F,1.0
407,T20M,T6M,7.0
408,PT1,T20M,1.0
409,Mot24,Mot3,1.0
410,Op33,She8,23.0
411,Op33,Op41,10.0
412,T18M,T6M,9.0
413,Tao12,Tao6,4.0
414,R21F,Tao17,1.0
415,Op21,Op41,2.0
416,Op36,She1,1.0
417,R6F,RF2,7.0
418,Op24,P1,1.0
419,Op8,She1,8.0
420,Op5,Op7,9.0
421,Op22,Op5,2.0
422,Op33,P1,10.0
423,Mot14,Mot8,13.0
424,PT1,Tao12,6.0
425,Op7,V21M,7.0
426,Op19,Op41,8.0
427,Mot21,Mot24,2.0
428,Mot1,Mot24,2.0
429,Tao12,Tao8,2.0
430,Op19,She1,3.0
431,Op21,Op22,1.0
432,Mot14,Mot5,20.0
433,Op24,Op31,1.0
434,Mot16,Mot18,8.0
435,T20M,Tao19,2.0
436,Mot20,Mot5,9.0
437,Mot1,Mot16,10.0
438,She8,V12M,7.0
439,Mot17,Mot24,2.0
440,Op24,Op33,4.0
441,Tao10,Tao13,2.0
442,R21F,RF7,2.0
443,Tao6,Tao7,2.0
444,R21F,RF2,1.0
445,Mot12,Mot18,4.0
446,Mot1,Mot21,5.0
447,R11F,R21F,2.0
448,Mot15,Mot16,18.0
449,V21M,V22M,3.0
450,Op8,P1,10.0
451,Mot3,Mot8,2.0
452,Mot16,Tao11,2.0
453,T18M,Tao11,3.0
454,RF2,RF4,3.0
455,Op9,P1,7.0
456,Op21,She1,1.0
457,Op36,V21M,1.0
458,Op10,V22M,3.0
459,Mot17,Mot5,16.0
460,P1,Tao12,6.0
461,She1,She13,4.0
462,PT7,RF3,4.0
463,T20M,Tao8,1.0
464,Op5,V19M,9.0
465,Op33,Op36,1.0
466,T12F,T6F,1.0
467,Tao10,Tao19,2.0
468,Op41,Op6,9.0
469,She1,V11M,8.0
470,Op6,V11M,5.0
471,Op10,Op5,18.0
472,Op31,Op41,5.0
473,Mot12,Mot2,2.0
474,Mot15,Mot21,8.0
475,Op41,V11M,4.0
476,Op5,Op6,7.0
477,Op22,Op41,2.0
478,Tao10,Tao15,22.0
479,T12F,T20M,1.0
480,Tao13,Tao25,2.0
481,Op8,V19M,8.0
482,Tao25,Tao4,6.0
483,Op7,P1,4.0
484,Mot12,Mot20,4.0
485,Op9,V21M,3.0
486,Op41,P1,5.0
487,Op41,She1,9.0
488,Op24,V19M,1.0
