,ID1,ID2,Weight
0,R14M,RF7,4
1,R11F,RF7,5
2,R11F,R14M,5
3,Op4,She5,6
4,She1,She5,5
5,Op4,She1,12
6,She5,V6M,4
7,Op4,V6M,4
8,She1,V6M,4
9,Op33,She5,3
10,Op33,Op4,3
11,Op33,She1,3
12,Op33,V6M,3
13,She5,V19M,2
14,Op4,V19M,2
15,She1,V19M,2
16,V19M,V6M,2
17,Op33,V19M,2
18,Op23,She5,1
19,Op23,Op4,1
20,Op23,She1,1
21,Op23,V6M,1
22,Op23,Op33,1
23,Op23,V19M,1
24,R14M,RF2,3
25,R11F,RF2,6
26,R14M,R6F,3
27,R11F,R6F,4
28,R6F,RF2,4
29,PT7,R14M,1
30,PT7,R11F,1
31,PT7,RF2,1
32,PT7,R6F,1
33,RF2,RF7,3
34,R6F,RF7,3
35,RF3,RF7,1
36,R11F,RF3,1
37,RF2,RF3,1
38,R6F,RF3,1
39,Op20,Op4,6
40,Op20,She1,6
41,Op4,V11M,5
42,She1,V11M,5
43,Op20,V11M,5
44,Op31,Op4,4
45,Op31,She1,4
46,Op20,Op31,4
47,Op31,V11M,4
48,Op4,Op9,3
49,Op9,She1,3
50,Op20,Op9,3
51,Op9,V11M,3
52,Op31,Op9,3
53,Op4,She8,2
54,She1,She8,2
55,Op20,She8,2
56,She8,V11M,2
57,Op31,She8,2
58,Op9,She8,2
59,Op10,Op4,1
60,Op10,She1,1
61,Op10,Op20,1
62,Op10,V11M,1
63,Op10,Op31,1
64,Op10,Op9,1
65,Op10,She8,1
66,PT3,PT4,2
67,PT2,PT3,5
68,PT2,PT4,1
69,PT3,She1,4
70,PT2,She1,3
71,PT1,She1,2
72,PT1,PT3,2
73,PT1,PT2,3
74,Op5,She1,1
75,Op5,PT3,1
76,Op5,PT2,1
77,Op5,PT1,1
78,Op8,PT3,1
