,ID1,ID2,Weight
0,RF2,RF7,14
1,RF3,RF7,2
2,RF2,RF3,2
3,RF4,RF7,3
4,RF2,RF4,3
5,RF3,RF4,1
6,Tao12,Tao3,6
7,Tao10,Tao3,5
8,Tao10,Tao12,14
9,Tao2,Tao3,4
10,Tao12,Tao2,12
11,Tao10,Tao2,12
12,T6M,Tao3,3
13,T6M,Tao12,10
14,T6M,Tao10,10
15,T6M,Tao2,10
16,Tao3,Tao6,2
17,Tao12,Tao6,5
18,Tao10,Tao6,5
19,Tao2,Tao6,5
20,T6M,Tao6,5
21,Tao3,Tao9,1
22,Tao12,Tao9,1
23,Tao10,Tao9,1
24,Tao2,Tao9,1
25,T6M,Tao9,1
26,Tao6,Tao9,1
27,She1,She5,42
28,Op33,She5,39
29,Op33,She1,39
30,Op20,She5,28
31,Op20,She1,28
32,Op20,Op33,28
33,She5,V11M,13
34,She1,V11M,13
35,Op33,V11M,13
36,Op20,V11M,13
37,Op5,She5,31
38,Op5,She1,31
39,Op33,Op5,31
40,Op20,Op5,24
41,Op5,V11M,12
42,She5,Tao5,11
43,She1,Tao5,11
44,Op33,Tao5,11
45,Op20,Tao5,11
46,Tao5,V11M,11
47,Op5,Tao5,11
48,She5,She9,14
49,She1,She9,14
50,Op33,She9,14
51,Op20,She9,10
52,She9,V11M,10
53,Op5,She9,14
54,She9,Tao5,10
55,Op13,She5,9
56,Op13,She1,9
57,Op13,Op33,9
58,Op13,Op20,9
59,Op13,V11M,9
60,Op13,Op5,9
61,Op13,Tao5,9
62,Op13,She9,9
63,Op18,She5,17
64,Op18,She1,17
65,Op18,Op33,17
66,Op18,Op20,17
67,Op18,V11M,8
68,Op18,Op5,17
69,Op18,Tao5,8
70,Op18,She9,8
71,Op13,Op18,8
72,She4,She5,7
73,She1,She4,7
74,Op33,She4,7
75,Op20,She4,7
76,She4,V11M,7
77,Op5,She4,7
78,She4,Tao5,7
79,She4,She9,7
80,Op13,She4,7
81,Op18,She4,7
82,Op41,She5,6
83,Op41,She1,6
84,Op33,Op41,6
85,Op20,Op41,6
86,Op41,V11M,6
87,Op41,Op5,6
88,Op41,Tao5,6
89,Op41,She9,6
90,Op13,Op41,6
91,Op18,Op41,6
92,Op41,She4,6
93,She5,V22M,11
94,She1,V22M,11
95,Op33,V22M,11
96,Op20,V22M,11
97,V11M,V22M,5
98,Op5,V22M,11
99,Tao5,V22M,5
100,She9,V22M,5
101,Op13,V22M,5
102,Op18,V22M,11
103,She4,V22M,5
104,Op41,V22M,5
105,Op19,She5,8
106,Op19,She1,8
107,Op19,Op33,8
108,Op19,Op20,8
109,Op19,V11M,4
