,ID1,ID2,Weight
0,Op4,She1,6
1,Op4,She8,4
2,She1,She8,4
3,Op18,Op4,1
4,Op18,She1,5
5,Op18,She8,1
6,Tao12,Tao25,8
7,Tao10,Tao25,14
8,Tao10,Tao12,11
9,Tao2,Tao25,9
10,Tao12,Tao2,6
11,Tao10,Tao2,9
12,Tao15,Tao25,9
13,Tao12,Tao15,8
14,Tao10,Tao15,12
15,Tao15,Tao2,7
16,Tao17,Tao25,4
17,Tao12,Tao17,6
18,Tao10,Tao17,6
19,Tao17,Tao2,4
20,Tao15,Tao17,6
21,T6M,Tao25,3
22,T6M,Tao12,3
23,T6M,Tao10,3
24,T6M,Tao2,3
25,T6M,Tao15,3
26,T6M,Tao17,3
27,Tao16,Tao25,2
28,Tao12,Tao16,3
29,Tao10,Tao16,3
30,Tao16,Tao2,2
31,Tao15,Tao16,3
32,Tao16,Tao17,3
33,T6M,Tao16,2
34,T18M,Tao25,1
35,T18M,Tao12,1
36,T18M,Tao10,1
37,T18M,Tao2,1
38,T18M,Tao15,1
39,T18M,Tao17,1
40,T18M,T6M,1
41,T18M,Tao16,1
42,Op4,V12M,1
43,She1,V12M,9
44,She8,V12M,1
45,Tao14,Tao25,10
46,T22M,Tao14,5
47,T22M,Tao25,5
48,Tao10,Tao14,11
49,T22M,Tao10,4
50,Tao14,Tao2,3
51,T22M,Tao2,3
52,Tao14,Tao15,7
53,T22M,Tao15,2
54,T6F,Tao14,1
55,T6F,Tao25,1
56,T22M,T6F,1
57,T6F,Tao10,1
58,T6F,Tao2,1
59,T6F,Tao15,1
60,Mot11,Mot18,22
61,Mot18,Mot7,10
62,Mot11,Mot7,10
63,Mot18,Mot5,27
64,Mot11,Mot5,19
65,Mot5,Mot7,9
66,Mot18,Mot8,24
67,Mot11,Mot8,17
68,Mot7,Mot8,8
69,Mot5,Mot8,24
70,Mot18,Mot19,21
71,Mot11,Mot19,15
72,Mot19,Mot7,7
73,Mot19,Mot5,21
74,Mot19,Mot8,21
75,Mot18,Mot21,18
76,Mot11,Mot21,13
77,Mot21,Mot7,6
78,Mot21,Mot5,18
79,Mot21,Mot8,28
80,Mot19,Mot21,18
81,Mot14,Mot18,11
82,Mot11,Mot14,11
83,Mot14,Mot7,5
84,Mot14,Mot5,11
