,ID1,ID2,Weight
0,Op31,She5,15
1,She5,V12M,10
2,Op31,V12M,10
3,P1,She5,5
4,Op31,P1,5
5,P1,V12M,5
6,She5,She9,12
7,Op31,She9,4
8,She9,V12M,4
9,P1,She9,4
10,Mot22,She5,3
11,Mot22,Op31,3
12,Mot22,V12M,3
13,Mot22,P1,3
14,Mot22,She9,3
15,She4,She5,2
16,Op31,She4,2
17,She4,V12M,2
18,P1,She4,2
19,She4,She9,2
20,Mot22,She4,2
21,She5,V21M,1
22,Op31,V21M,1
23,V12M,V21M,1
24,P1,V21M,1
25,She9,V21M,1
26,Mot22,V21M,1
27,She4,V21M,1
28,RF2,RF7,2
29,PT7,RF7,1
30,PT7,RF2,1
31,Op33,She5,26
32,Op20,She5,16
33,Op20,Op33,16
34,She5,V11M,15
35,Op33,V11M,15
36,Op20,V11M,15
37,Op10,She5,20
38,Op10,Op33,20
39,Op10,Op20,14
40,Op10,V11M,14
41,PT1,She5,18
42,Op33,PT1,18
43,Op20,PT1,13
44,PT1,V11M,13
45,Op10,PT1,18
46,Op5,She5,12
47,Op33,Op5,12
48,Op20,Op5,12
49,Op5,V11M,12
50,Op10,Op5,12
51,Op5,PT1,12
52,Op8,She5,11
53,Op33,Op8,11
54,Op20,Op8,11
55,Op8,V11M,11
56,Op10,Op8,11
57,Op8,PT1,11
58,Op5,Op8,11
59,Op6,She5,13
60,Op33,Op6,13
61,Op20,Op6,10
62,Op6,V11M,10
63,Op10,Op6,13
64,Op6,PT1,13
65,Op5,Op6,10
66,Op6,Op8,10
67,Op16,She5,9
68,Op16,Op33,9
69,Op16,Op20,9
70,Op16,V11M,9
71,Op10,Op16,9
72,Op16,PT1,9
73,Op16,Op5,9
74,Op16,Op8,9
75,Op16,Op6,9
76,Op33,She9,8
77,Op20,She9,8
78,She9,V11M,8
79,Op10,She9,8
80,PT1,She9,8
81,Op5,She9,8
82,Op8,She9,8
83,Op6,She9,8
84,Op16,She9,8
85,Op41,She5,7
86,Op33,Op41,7
87,Op20,Op41,7
88,Op41,V11M,7
89,Op10,Op41,7
90,Op41,PT1,7
91,Op41,Op5,7
92,Op41,Op8,7
93,Op41,Op6,7
94,Op16,Op41,7
95,Op41,She9,7
96,She5,V22M,6
97,Op33,V22M,6
98,Op20,V22M,6
99,V11M,V22M,6
100,Op10,V22M,6
101,PT1,V22M,6
102,Op5,V22M,6
103,Op8,V22M,6
104,Op6,V22M,6
105,Op16,V22M,6
106,She9,V22M,6
107,Op41,V22M,6
108,She5,V23M,5
109,Op33,V23M,5
110,Op20,V23M,5
111,V11M,V23M,5
112,Op10,V23M,5
113,PT1,V23M,5
114,Op5,V23M,5
115,Op8,V23M,5
116,Op6,V23M,5
117,Op16,V23M,5
118,She9,V23M,5
119,Op41,V23M,5
120,V22M,V23M,5
121,Op27,She5,6
122,Op27,Op33,6
123,Op20,Op27,4
124,Op27,V11M,4
125,Op10,Op27,6
126,Op27,PT1,6
127,Op27,Op5,4
128,Op27,Op8,4
129,Op27,Op6,6
130,Op16,Op27,4
131,Op27,She9,4
132,Op27,Op41,4
133,Op27,V22M,4
134,Op27,V23M,4
135,Op24,She5,3
136,Op24,Op33,3
137,Op20,Op24,3
138,Op24,V11M,3
139,Op10,Op24,3
140,Op24,PT1,3
141,Op24,Op5,3
142,Op24,Op8,3
143,Op24,Op6,3
144,Op16,Op24,3
145,Op24,She9,3
146,Op24,Op41,3
147,Op24,V22M,3
148,Op24,V23M,3
149,Op24,Op27,3
150,Op22,She5,3
151,Op22,Op33,3
152,Op20,Op22,2
153,Op22,V11M,2
154,Op10,Op22,3
155,Op22,PT1,3
156,Op22,Op5,2
157,Op22,Op8,2
158,Op22,Op6,3
159,Op16,Op22,2
160,Op22,She9,2
161,Op22,Op41,2
162,Op22,V22M,2
163,Op22,V23M,2
164,Op22,Op27,3
165,Op22,Op24,2
166,Op21,She5,1
167,Op21,Op33,1
168,Op20,Op21,1
169,Op21,V11M,1
170,Op10,Op21,1
171,Op21,PT1,1
172,Op21,Op5,1
173,Op21,Op8,1
174,Op21,Op6,1
175,Op16,Op21,1
176,Op21,She9,1
177,Op21,Op41,1
178,Op21,V22M,1
179,Op21,V23M,1
180,Op21,Op27,1
181,Op21,Op24,1
182,Op21,Op22,1
183,Op8,Tao5,10
184,Op8,Tao3,9
185,Tao3,Tao5,9
186,Op8,Tao14,8
187,Tao14,Tao5,8
188,Tao14,Tao3,8
189,Op8,Tao12,7
190,Tao12,Tao5,7
191,Tao12,Tao3,7
192,Tao12,Tao14,7
193,Op8,Tao10,6
194,Tao10,Tao5,6
195,Tao10,Tao3,9
196,Tao10,Tao14,6
197,Tao10,Tao12,13
198,Op8,Tao2,5
199,Tao2,Tao5,5
200,Tao2,Tao3,7
201,Tao14,Tao2,5
202,Tao12,Tao2,11
203,Tao10,Tao2,13
204,Op8,Tao16,4
205,Tao16,Tao5,4
