,ID1,ID2,Weight
0,T12F,Tao4,1.0
1,She1,She5,35.0
2,Tao10,Tao4,11.0
3,PT1,T20M,1.0
4,Op7,PT1,2.0
5,Tao12,Tao15,3.0
6,She3,V19M,5.0
7,Op7,She9,5.0
8,V11M,V21M,6.0
9,T6F,T6M,2.0
10,Op20,V22M,3.0
11,PT7,Tao4,9.0
12,Op7,V22M,3.0
13,Mot21,Mot5,7.0
14,Op10,Op31,26.0
15,Op8,She5,5.0
16,T20M,Tao12,6.0
17,Op24,Tao15,2.0
18,Op5,She1,18.0
19,Op24,PT1,4.0
20,P1,Tao8,4.0
21,P1,V21M,6.0
22,Mot3,Tao11,1.0
23,Op8,Tao12,14.0
24,Op24,Op41,7.0
25,Op6,Op7,4.0
26,Mot6,Mot8,2.0
27,M11F,T6F,3.0
28,Op36,Op4,1.0
29,Tao15,V22M,3.0
30,Tao25,Tao8,5.0
31,T20M,Tao7,1.0
32,Op27,Op5,3.0
33,RF2,Tao17,6.0
34,Op24,V21M,2.0
35,Mot2,Mot6,2.0
36,She1,V12M,9.0
37,Op36,Tao15,1.0
38,Mot12,Mot24,2.0
39,Op33,V6M,11.0
40,Op4,She5,26.0
41,Mot16,Mot17,21.0
42,M6F,Mot20,3.0
43,Op27,V19M,3.0
44,Op41,Op8,3.0
45,RF4,RF7,1.0
46,Mot22,R14M,1.0
47,Mot20,Mot6,2.0
48,Op31,She1,10.0
49,M6F,Mot14,3.0
50,Op20,V21M,6.0
51,Op20,She8,17.0
52,Op19,Op24,1.0
53,Op24,V11M,6.0
54,Mot17,Mot20,7.0
55,T20M,Tao10,6.0
56,Op21,Op27,1.0
57,R6F,Tao19,2.0
58,M11F,T18M,4.0
59,Tao17,Tao19,2.0
60,Op21,She3,1.0
61,Op20,Op24,4.0
62,Mot2,Mot3,1.0
63,Mot5,Mot6,2.0
64,Op33,Tao15,5.0
65,Mot18,Mot19,10.0
66,Mot12,Mot14,8.0
67,Op8,Tao10,11.0
68,Mot12,Mot3,2.0
69,Op24,She8,6.0
70,Op6,She1,13.0
71,Mot17,Mot19,7.0
72,M11F,Tao6,1.0
73,Op10,Op24,9.0
74,She8,V19M,8.0
75,Mot21,Mot3,2.0
76,Op33,Op5,14.0
77,M5F,Mot8,6.0
78,Op33,She9,4.0
79,Tao10,Tao6,4.0
80,Op6,V21M,4.0
81,T12F,Tao6,1.0
82,R14M,RF4,2.0
83,R11F,RF2,17.0
84,Op7,Op8,2.0
85,She1,V22M,6.0
86,V11M,V12M,5.0
87,Mot4,Mot8,8.0
88,Mot19,Mot6,2.0
89,Op31,PT1,23.0
90,Op36,Op41,1.0
91,Op10,Op19,2.0
92,V12M,V21M,2.0
93,M5F,Mot14,6.0
94,PT1,She8,23.0
95,Op20,Op27,3.0
96,PT7,T20M,4.0
97,Tao10,Tao25,6.0
98,T20M,Tao15,1.0
99,She1,V21M,6.0
100,M5F,Mot1,6.0
101,Op41,Tao15,4.0
102,Tao12,Tao4,14.0
103,P1,Tao10,4.0
104,Mot14,Mot21,10.0
105,Op21,She5,2.0
106,Op5,V6M,6.0
107,Op7,V6M,5.0
108,Op16,V22M,3.0
109,Op36,V22M,1.0
110,Mot15,Mot5,5.0
111,Op10,Op41,23.0
112,Mot22,Tao17,1.0
113,T6F,Tao8,2.0
114,Mot12,Mot8,11.0
115,Mot12,Mot15,2.0
116,Op20,Op41,8.0
117,T20M,Tao25,4.0
118,Op7,She1,9.0
119,Mot19,Mot4,4.0
120,Op21,V19M,3.0
121,M6F,Mot18,6.0
122,Mot2,Mot5,8.0
123,P1,Tao15,8.0
124,She8,V22M,3.0
125,Mot12,Mot17,9.0
126,M5F,Mot2,6.0
127,Mot12,Mot5,5.0
128,M11F,Tao8,2.0
129,M5F,M6F,3.0
130,V11M,V22M,6.0
131,Mot1,Mot17,18.0
132,Mot5,Mot8,28.0
133,Mot21,Mot8,19.0
134,P1,T20M,1.0
135,Mot2,Mot24,3.0
136,Op31,She8,29.0
137,Mot16,Mot24,3.0
138,Op4,She9,4.0
139,Op24,V12M,3.0
140,P1,Tao7,5.0
141,Op36,P1,1.0
142,Mot14,Mot15,5.0
143,Mot14,Mot18,10.0
144,T18M,Tao6,1.0
145,Op33,V21M,6.0
146,Mot17,Mot2,12.0
147,Op31,Op33,32.0
148,Tao15,Tao7,3.0
149,Op5,She9,4.0
150,Op8,Tao25,8.0
151,T20M,Tao4,5.0
152,Op20,Op5,12.0
153,R14M,Tao17,5.0
154,PT7,Tao25,8.0
155,R11F,RF7,5.0
156,Mot18,Mot5,12.0
157,Mot16,Mot5,21.0
158,Op7,Tao8,2.0
159,Op21,P1,1.0
160,Op16,V11M,6.0
161,P1,V11M,19.0
162,Op20,V19M,9.0
163,Mot21,Mot4,4.0
164,Tao12,Tao25,7.0
165,T6M,Tao12,5.0
166,Mot24,Mot8,3.0
167,Op24,Op5,7.0
168,Op10,She1,37.0
169,M5F,Mot21,5.0
170,T22M,Tao10,5.0
171,She1,V19M,25.0
172,Op4,V11M,6.0
173,Op16,Op6,6.0
174,Op7,She5,3.0
175,Tao19,Tao6,2.0
176,Mot12,Mot16,11.0
177,Op8,She8,11.0
178,T12F,Tao8,1.0
179,Op31,Op36,1.0
180,Op27,V12M,3.0
181,Mot1,Mot5,14.0
182,Mot15,Mot19,5.0
183,Mot20,Mot4,4.0
184,M6F,Mot6,2.0
185,Op24,Tao8,1.0
186,She5,She9,4.0
187,Op20,Op4,9.0
188,She5,V21M,2.0
189,PT7,Tao8,5.0
190,Op33,Tao8,4.0
191,Mot12,Mot4,4.0
192,Mot16,Mot19,15.0
193,Op19,Op33,2.0
194,Mot18,Mot21,12.0
195,Op31,V21M,2.0
196,M6F,Mot24,3.0
197,Mot2,Mot4,8.0
198,Op10,V11M,30.0
199,She3,She5,5.0
200,Tao19,Tao8,2.0
201,Op21,V12M,1.0
202,Tao4,Tao6,3.0
203,Op21,Op8,1.0
204,Tao25,Tao6,3.0
205,Mot18,Mot4,8.0
206,Op10,Op27,3.0
207,Mot16,Tao11,2.0
208,Op33,Op8,6.0
209,R14M,RF2,12.0
210,Op16,Op41,5.0
211,Tao10,Tao7,4.0
212,Op33,Op7,8.0
213,Mot18,Mot3,1.0
214,PT7,Tao6,3.0
215,Op6,V22M,9.0
216,Op10,Op8,11.0
217,Op27,She5,3.0
218,PT7,Tao10,6.0
219,M6F,Mot12,3.0
220,Mot20,Mot8,9.0
221,Mot17,Mot8,21.0
222,Op10,V21M,6.0
223,Mot12,Mot19,2.0
224,Op8,T6M,4.0
225,PT1,Tao7,5.0
226,Op33,V11M,36.0
227,Op7,She3,3.0
228,Op7,V19M,5.0
229,She8,V6M,9.0
230,Mot16,Mot21,17.0
